StateName,STATEFIP,PUMA,GISJOIN,GISMATCH,CountyCode,CountyName,Subregion
New York,36,3801,G36003801,3603801,36061,Manhattan,NYC
New York,36,3802,G36003802,3603802,36061,Manhattan,NYC
New York,36,3803,G36003803,3603803,36061,Manhattan,NYC
New York,36,3804,G36003804,3603804,36061,Manhattan,NYC
New York,36,3805,G36003805,3603805,36061,Manhattan,NYC
New York,36,3806,G36003806,3603806,36061,Manhattan,NYC
New York,36,3807,G36003807,3603807,36061,Manhattan,NYC
New York,36,3808,G36003808,3603808,36061,Manhattan,NYC
New York,36,3809,G36003809,3603809,36061,Manhattan,NYC
New York,36,3810,G36003810,3603810,36061,Manhattan,NYC
New York,36,3901,G36003901,3603901,36085,Staten Island,NYC
New York,36,3902,G36003902,3603902,36085,Staten Island,NYC
New York,36,3903,G36003903,3603903,36085,Staten Island,NYC
New York,36,4001,G36004001,3604001,36047,Brooklyn,NYC
New York,36,4002,G36004002,3604002,36047,Brooklyn,NYC
New York,36,4003,G36004003,3604003,36047,Brooklyn,NYC
New York,36,4004,G36004004,3604004,36047,Brooklyn,NYC
New York,36,4005,G36004005,3604005,36047,Brooklyn,NYC
New York,36,4006,G36004006,3604006,36047,Brooklyn,NYC
New York,36,4007,G36004007,3604007,36047,Brooklyn,NYC
New York,36,4008,G36004008,3604008,36047,Brooklyn,NYC
New York,36,4009,G36004009,3604009,36047,Brooklyn,NYC
New York,36,4010,G36004010,3604010,36047,Brooklyn,NYC
New York,36,4011,G36004011,3604011,36047,Brooklyn,NYC
New York,36,4012,G36004012,3604012,36047,Brooklyn,NYC
New York,36,4013,G36004013,3604013,36047,Brooklyn,NYC
New York,36,4014,G36004014,3604014,36047,Brooklyn,NYC
New York,36,4015,G36004015,3604015,36047,Brooklyn,NYC
New York,36,4016,G36004016,3604016,36047,Brooklyn,NYC
New York,36,4017,G36004017,3604017,36047,Brooklyn,NYC
New York,36,4018,G36004018,3604018,36047,Brooklyn,NYC
New York,36,4101,G36004101,3604101,36081,Queens,NYC
New York,36,4102,G36004102,3604102,36081,Queens,NYC
New York,36,4103,G36004103,3604103,36081,Queens,NYC
New York,36,4104,G36004104,3604104,36081,Queens,NYC
New York,36,4105,G36004105,3604105,36081,Queens,NYC
New York,36,4106,G36004106,3604106,36081,Queens,NYC
New York,36,4107,G36004107,3604107,36081,Queens,NYC
New York,36,4108,G36004108,3604108,36081,Queens,NYC
New York,36,4109,G36004109,3604109,36081,Queens,NYC
New York,36,4110,G36004110,3604110,36081,Queens,NYC
New York,36,4111,G36004111,3604111,36081,Queens,NYC
New York,36,4112,G36004112,3604112,36081,Queens,NYC
New York,36,4113,G36004113,3604113,36081,Queens,NYC
New York,36,4114,G36004114,3604114,36081,Queens,NYC
New York,36,4201,G36004201,3604201,36059,Nassau,LI
New York,36,4202,G36004202,3604202,36059,Nassau,LI
New York,36,4203,G36004203,3604203,36059,Nassau,LI
New York,36,4204,G36004204,3604204,36059,Nassau,LI
New York,36,4205,G36004205,3604205,36059,Nassau,LI
New York,36,4206,G36004206,3604206,36059,Nassau,LI
New York,36,4207,G36004207,3604207,36059,Nassau,LI
New York,36,4208,G36004208,3604208,36059,Nassau,LI
New York,36,4209,G36004209,3604209,36059,Nassau,LI
New York,36,4210,G36004210,3604210,36059,Nassau,LI
New York,36,4211,G36004211,3604211,36059,Nassau,LI
New York,36,4212,G36004212,3604212,36059,Nassau,LI
New York,36,4301,G36004301,3604301,36103,Suffolk,LI
New York,36,4302,G36004302,3604302,36103,Suffolk,LI
New York,36,4303,G36004303,3604303,36103,Suffolk,LI
New York,36,4304,G36004304,3604304,36103,Suffolk,LI
New York,36,4305,G36004305,3604305,36103,Suffolk,LI
New York,36,4306,G36004306,3604306,36103,Suffolk,LI
New York,36,4307,G36004307,3604307,36103,Suffolk,LI
New York,36,4308,G36004308,3604308,36103,Suffolk,LI
New York,36,4309,G36004309,3604309,36103,Suffolk,LI
New York,36,4310,G36004310,3604310,36103,Suffolk,LI
New York,36,4311,G36004311,3604311,36103,Suffolk,LI
New York,36,4312,G36004312,3604312,36103,Suffolk,LI
